pair_id,set,preset,kind,present,x,y,theta,scale,search_path,reference_path,severity_level,v1_peak,v1_margin,v1_error,v2_error,attempts
p053,A,dram_legacy,dram,1,600.5688,475.468,-3.65,11.26,search/p053.png,reference/p053.png,0,0.8939371705055237,0.03466141223907471,0.636362663895367,0.636362663895367,5
p054,A,finfet_10nm,finfet,1,518.9365,658.8863,-0.97,10.46,search/p054.png,reference/p054.png,0,0.9392747282981873,0.24489009380340576,0.5828893033844634,0.5828893033844634,1
p055,A,finfet_7nm,finfet,1,477.7814,479.7246,-4.32,11.06,search/p055.png,reference/p055.png,0,0.8953452706336975,0.27410441637039185,0.36004321962788727,0.36004321962788727,5
p056,A,finfet_14nm,finfet,1,523.4887,524.4689,3.57,10.43,search/p056.png,reference/p056.png,0,0.9404982924461365,0.40007680654525757,0.0330892731863737,0.0330892731863737,1
p057,A,finfet_22nm,finfet,1,232.7742,514.4869,-1.79,10.51,search/p057.png,reference/p057.png,0,0.9020789861679077,0.3327575922012329,0.5367096514876439,0.5367096514876439,4
p058,A,finfet_28nm,finfet,1,775.8285,659.5888,-1.62,10.62,search/p058.png,reference/p058.png,0,0.9582972526550293,0.17678892612457275,0.34029059640250725,0.34029059640250725,1
p059,A,finfet_45nm,finfet,1,506.873,361.5434,-3.72,10.67,search/p059.png,reference/p059.png,0,0.8951250314712524,0.08422428369522095,0.37551639112027396,0.37551639112027396,4
p060,A,dram_1x,dram,1,324.6742,297.6444,-4.67,9.12,search/p060.png,reference/p060.png,0,0.9512524604797363,0.3343280553817749,0.22626754075651268,0.22626754075651268,1
p061,A,dram_dense,dram,1,705.6708,710.4203,0.55,8.34,search/p061.png,reference/p061.png,0,0.9866217374801636,0.3329859972000122,0.18848005199488752,0.18848005199488752,4
p062,A,dram_loose,dram,1,642.293,484.9355,0.16,8.93,search/p062.png,reference/p062.png,0,0.9631516933441162,0.032611310482025146,0.4821921297574122,0.4821921297574122,1
p063,A,dram_wide,dram,1,524.4311,777.6875,3.81,10.64,search/p063.png,reference/p063.png,0,0.9544640779495239,0.42252522706985474,0.19975850419944063,0.19975850419944063,5
p064,A,dram_compact,dram,1,762.5546,302.0838,-1.81,9.42,search/p064.png,reference/p064.png,0,0.9487041234970093,0.0754537582397461,0.41976612536031105,0.41976612536031105,3
p065,A,dram_legacy,dram,1,608.9233,626.2067,-3.82,9.25,search/p065.png,reference/p065.png,0,0.9231297969818115,0.3080255389213562,0.5149832812820823,0.5149832812820823,5
p066,A,finfet_10nm,finfet,1,637.6274,497.4201,3.2,10.65,search/p066.png,reference/p066.png,0,0.9724779725074768,0.07348459959030151,0.15038208004942877,0.15038208004942877,1
p067,A,finfet_7nm,finfet,1,551.3985,267.2641,0.58,9.89,search/p067.png,reference/p067.png,0,0.9561353325843811,0.3124673366546631,0.4780701412972809,0.4780701412972809,6
p068,A,finfet_14nm,finfet,1,676.1509,428.953,1.99,11.83,search/p068.png,reference/p068.png,0,0.9531117081642151,0.4231385588645935,0.15805002372665425,0.15805002372665425,1
p069,A,finfet_22nm,finfet,1,462.0634,227.506,3.89,10.98,search/p069.png,reference/p069.png,0,0.9060448408126831,0.4420275390148163,0.498051764377961,0.498051764377961,4
p070,A,finfet_28nm,finfet,1,651.3123,640.0437,1.5,8.86,search/p070.png,reference/p070.png,0,0.9636670351028442,0.44931966066360474,0.31534263904525583,0.31534263904525583,1
p071,A,finfet_45nm,finfet,1,619.3242,491.2793,3.42,10.87,search/p071.png,reference/p071.png,0,0.9580599069595337,0.09847581386566162,0.28215975971070556,0.28215975971070556,1
p072,A,dram_1x,dram,1,756.7258,281.1962,1.89,9.38,search/p072.png,reference/p072.png,0,0.9628229141235352,0.08348166942596436,0.33716476684250923,0.33716476684250923,1
p073,A,dram_dense,dram,1,516.6503,516.5212,-0.91,10.42,search/p073.png,reference/p073.png,0,0.9891737103462219,0.42253780364990234,0.1517877794817673,0.1517877794817673,4
p074,A,dram_loose,dram,1,347.1339,351.0716,-1.47,8.41,search/p074.png,reference/p074.png,0,0.983371376991272,0.3087729215621948,0.15184126580081544,0.15184126580081544,1
p075,A,dram_wide,dram,1,547.6128,689.3222,-2.83,11.85,search/p075.png,reference/p075.png,0,0.9767494201660156,0.05656081438064575,0.21056276973865842,0.21056276973865842,3
p076,A,dram_compact,dram,1,350.3512,681.7338,-1.32,8.45,search/p076.png,reference/p076.png,0,0.9718430042266846,0.3808181881904602,0.2771351294945952,0.2771351294945952,1
p077,A,dram_legacy,dram,1,685.1413,701.2617,-2.33,8.4,search/p077.png,reference/p077.png,0,0.9712638258934021,0.29048842191696167,0.29740978464067086,0.29740978464067086,3
p078,A,finfet_10nm,finfet,1,443.1756,690.698,-1.81,11.66,search/p078.png,reference/p078.png,0,0.9292614459991455,0.42766857147216797,0.38005178594503186,0.38005178594503186,3
p079,A,finfet_7nm,finfet,1,244.3311,508.4408,-2.61,10.34,search/p079.png,reference/p079.png,0,0.8723626136779785,0.35952430963516235,0.5513001451115501,0.5513001451115501,4
p080,B,finfet_14nm,finfet,1,241.5702,352.9189,-3.57,10.6,search/p080.png,reference/p080.png,1,0.8791807889938354,0.10396534204483032,0.42474139190807214,0.42474139190807214,1
p081,B,finfet_22nm,finfet,1,742.7131,749.537,-0.74,11.04,search/p081.png,reference/p081.png,2,0.7187589406967163,0.32264602184295654,0.5446839542339549,0.5446839542339549,4
p082,B,finfet_28nm,finfet,1,744.4923,404.2327,-4.0,8.0,search/p082.png,reference/p082.png,3,0.505063533782959,0.15618881583213806,0.5445260140709631,0.5445260140709631,1
p083,B,finfet_45nm,finfet,1,763.5974,743.8411,2.0,11.0,search/p083.png,reference/p083.png,4,0.13843579590320587,0.021538518369197845,1.0316665982767705,1.0316665982767705,14
p084,B,dram_1x,dram,1,544.2174,389.1213,-0.59,10.2,search/p084.png,reference/p084.png,1,0.9610893130302429,0.05202186107635498,0.47252137517787135,0.47252137517787135,1
p085,B,dram_dense,dram,1,644.731,619.5284,2.7,9.07,search/p085.png,reference/p085.png,2,0.6088050603866577,0.2235172986984253,0.23273925324276387,0.23273925324276387,3
p086,B,dram_loose,dram,1,637.4244,309.8646,-2.0,9.0,search/p086.png,reference/p086.png,3,0.4768040180206299,0.1745409369468689,0.5913108488773151,0.5913108488773151,1
p087,B,dram_wide,dram,1,352.3958,734.1852,-4.0,8.0,search/p087.png,reference/p087.png,4,0.24472473561763763,0.05182194709777832,1.8574597384600222,1.8574597384600222,1
p088,B,dram_compact,dram,1,706.479,335.6018,-4.51,11.68,search/p088.png,reference/p088.png,1,0.9330980777740479,0.03143996000289917,0.10394344616185988,0.10394344616185988,2
p089,B,dram_legacy,dram,1,506.2051,331.2276,-0.33,8.63,search/p089.png,reference/p089.png,2,0.8100404143333435,0.03085029125213623,0.401457058724832,0.401457058724832,2
p090,B,finfet_10nm,finfet,1,321.7741,307.0691,-2.0,9.0,search/p090.png,reference/p090.png,3,0.5603674650192261,0.1823449432849884,0.23623213159942869,0.23623213159942869,1
p091,B,finfet_7nm,finfet,1,749.9525,376.2906,-2.0,8.0,search/p091.png,reference/p091.png,4,0.21582701802253723,0.04772214591503143,0.2944564653730526,0.2944564653730526,7
p092,B,finfet_14nm,finfet,1,664.0621,242.563,4.4,10.24,search/p092.png,reference/p092.png,1,0.8564438819885254,0.03274393081665039,0.4424086459372264,0.4424086459372264,1
p093,B,finfet_22nm,finfet,1,438.2971,693.1648,-4.09,11.57,search/p093.png,reference/p093.png,2,0.45232948660850525,0.18130290508270264,0.3918257903711681,0.3918257903711681,4
p094,B,finfet_28nm,finfet,1,654.7239,294.7985,4.0,12.0,search/p094.png,reference/p094.png,3,0.48665958642959595,0.04840099811553955,0.34180909876717347,0.34180909876717347,1
p095,B,finfet_45nm,finfet,1,634.5834,477.5361,-4.0,9.0,search/p095.png,reference/p095.png,4,0.15743407607078552,0.030941694974899292,0.6235052285266227,0.6235052285266227,2
p096,B,dram_1x,dram,1,348.9508,464.3394,-1.96,11.12,search/p096.png,reference/p096.png,1,0.9458176493644714,0.03625929355621338,0.4785530273647946,0.4785530273647946,1
p097,B,dram_dense,dram,1,774.3148,756.4855,2.1,10.78,search/p097.png,reference/p097.png,2,0.6312804818153381,0.2202138900756836,0.6031660550793558,0.6031660550793558,4
p098,B,dram_loose,dram,1,293.2219,325.9108,4.0,9.0,search/p098.png,reference/p098.png,3,0.40151816606521606,0.12819719314575195,0.23915737496469391,0.23915737496469391,1
p099,B,dram_wide,dram,1,372.5682,377.6826,4.0,8.0,search/p099.png,reference/p099.png,4,0.2530510425567627,0.06211753189563751,1.7371223330554297,0.8077091060524082,1
p100,B,dram_compact,dram,1,629.8631,612.3424,1.23,9.19,search/p100.png,reference/p100.png,1,0.9477765560150146,0.4237583875656128,0.36875380675999797,0.36875380675999797,1
p101,B,dram_legacy,dram,1,642.5276,234.286,-4.04,10.86,search/p101.png,reference/p101.png,2,0.6507855653762817,0.04256176948547363,0.21577247275776348,0.21577247275776348,8
p102,B,finfet_10nm,finfet,1,633.3263,310.7145,2.0,9.0,search/p102.png,reference/p102.png,3,0.5271012187004089,0.2017844021320343,0.4335688411313394,0.4335688411313394,1
p103,B,finfet_7nm,finfet,1,262.6025,256.0341,-2.0,10.0,search/p103.png,reference/p103.png,4,0.21491263806819916,0.06735146045684814,1.5375204258806048,1.5375204258806048,3
p104,B,finfet_14nm,finfet,1,328.7118,486.0372,0.47,8.78,search/p104.png,reference/p104.png,1,0.9487336277961731,0.11104989051818848,0.5089627491280743,0.5089627491280743,1
p105,B,finfet_22nm,finfet,1,406.4932,268.0754,0.74,9.86,search/p105.png,reference/p105.png,2,0.7931964993476868,0.08014053106307983,0.5123781806439445,0.5123781806439445,4
p106,B,finfet_28nm,finfet,1,415.771,556.0065,2.0,10.0,search/p106.png,reference/p106.png,3,0.5404826402664185,0.051641255617141724,0.5630126552752146,0.5630126552752146,3
p107,B,finfet_45nm,finfet,1,741.25,557.125,0.0,8.0,search/p107.png,reference/p107.png,4,0.290397584438324,0.055505067110061646,0.9100137361600648,0.9100137361600648,3
p108,B,dram_1x,dram,1,724.4032,339.0078,-3.09,11.46,search/p108.png,reference/p108.png,1,0.9375709891319275,0.0454447865486145,0.40327543937112664,0.40327543937112664,1
p109,B,dram_dense,dram,1,466.6913,306.5543,-1.38,9.24,search/p109.png,reference/p109.png,2,0.6456340551376343,0.030388832092285156,0.19885718493432936,0.19885718493432936,5
p110,B,dram_loose,dram,1,420.4432,426.4229,2.0,12.0,search/p110.png,reference/p110.png,3,0.45124903321266174,0.09677201509475708,0.8019168597803514,0.8019168597803514,1
p111,B,dram_wide,dram,1,482.1668,481.1392,2.0,11.0,search/p111.png,reference/p111.png,4,0.2093067318201065,0.04854847490787506,0.8768117699939817,0.8768117699939817,12
p112,B,dram_compact,dram,1,634.9147,315.6049,2.35,8.94,search/p112.png,reference/p112.png,1,0.9366373419761658,0.37250351905822754,0.4277617327438599,0.4277617327438599,1
p113,B,dram_legacy,dram,1,476.4961,481.7144,2.59,10.98,search/p113.png,reference/p113.png,2,0.6806477904319763,0.24996501207351685,0.5724356470381677,0.5724356470381677,4
p114,B,finfet_10nm,finfet,1,427.4964,248.3154,-4.0,10.0,search/p114.png,reference/p114.png,3,0.484830766916275,0.057959139347076416,0.18463509958833932,0.18463509958833932,1
p115,B,finfet_7nm,finfet,1,553.5762,551.2688,-2.0,10.0,search/p115.png,reference/p115.png,4,0.15818090736865997,0.025998905301094055,0.243433522753071,0.243433522753071,7
p116,B,finfet_14nm,finfet,1,729.1726,696.8317,3.64,11.42,search/p116.png,reference/p116.png,1,0.8918352127075195,0.4646916091442108,0.466063997751358,0.466063997751358,1
p117,B,finfet_22nm,finfet,1,649.9551,643.6324,0.49,8.94,search/p117.png,reference/p117.png,2,0.6492059230804443,0.22177386283874512,0.4739681107416449,0.4739681107416449,4
p118,B,finfet_28nm,finfet,1,631.3893,485.8723,-2.0,9.0,search/p118.png,reference/p118.png,3,0.5283489227294922,0.04498648643493652,0.4097093848083527,0.4097093848083527,1
p119,B,finfet_45nm,finfet,1,483.2727,744.7273,0.0,11.0,search/p119.png,reference/p119.png,4,0.14679351449012756,0.02530696988105774,0.7767435741607475,0.7767435741607475,10
p120,B,dram_1x,dram,1,347.3093,704.8098,-2.1,8.28,search/p120.png,reference/p120.png,1,0.9470133185386658,0.3496010899543762,0.3631012668664298,0.3631012668664298,1
p121,B,dram_dense,dram,1,613.8918,292.4434,4.02,9.17,search/p121.png,reference/p121.png,2,0.6829259991645813,0.2907273769378662,0.4564107798902208,0.4564107798902208,6
p122,B,dram_loose,dram,1,553.95,547.05,0.0,10.0,search/p122.png,reference/p122.png,3,0.45819443464279175,0.14068663120269775,0.7106335201775884,0.7106335201775884,1
p123,B,dram_wide,dram,1,774.8873,235.7494,-4.0,11.0,search/p123.png,reference/p123.png,4,0.15930719673633575,0.023173823952674866,1.255667810370236,0.2747756357466939,7
p124,B,dram_compact,dram,1,565.6625,422.014,-0.07,9.74,search/p124.png,reference/p124.png,1,0.9498603940010071,0.04228240251541138,0.3377902455666607,0.3377902455666607,1
p125,B,dram_legacy,dram,1,231.5898,246.8944,0.31,10.49,search/p125.png,reference/p125.png,2,0.7271945476531982,0.322486937046051,0.4235745506991711,0.4235745506991711,4
p126,B,finfet_10nm,finfet,1,430.5417,432.2083,0.0,12.0,search/p126.png,reference/p126.png,3,0.3132156729698181,0.05041089653968811,0.5803686586989294,0.5803686586989294,2
p127,B,finfet_7nm,finfet,1,561.1897,407.747,-2.0,10.0,search/p127.png,reference/p127.png,4,0.2764357626438141,0.03621631860733032,1.2850272720841474,1.2850272720841474,5
p128,B,finfet_14nm,finfet,1,222.3367,274.129,4.57,10.27,search/p128.png,reference/p128.png,1,0.8766669631004333,0.3144105076789856,0.3605660688417728,0.3605660688417728,1
p129,B,finfet_22nm,finfet,1,524.571,389.7422,3.72,10.19,search/p129.png,reference/p129.png,2,0.748479425907135,0.06083321571350098,0.2523922344289063,0.2523922344289063,4
p130,B,finfet_28nm,finfet,1,227.0202,329.3966,-4.0,11.0,search/p130.png,reference/p130.png,3,0.2920742332935333,0.07065021991729736,0.3971140893999886,0.3971140893999886,1
p131,B,finfet_45nm,finfet,1,381.4616,373.1786,-2.0,8.0,search/p131.png,reference/p131.png,4,0.1649257093667984,0.022201403975486755,0.5672499625385904,0.5672499625385904,2
p132,B,dram_1x,dram,1,732.1772,725.5745,0.67,11.31,search/p132.png,reference/p132.png,1,0.9385355114936829,0.35953694581985474,0.33128551130408723,0.33128551130408723,1
p133,B,dram_dense,dram,1,549.092,564.2608,-1.26,9.96,search/p133.png,reference/p133.png,2,0.7074904441833496,0.3185980021953583,0.4729488767298261,0.4729488767298261,4
p134,B,dram_loose,dram,1,558.9114,266.6816,-2.0,10.0,search/p134.png,reference/p134.png,3,0.4133213460445404,0.15145736932754517,0.4496982543883914,0.4496982543883914,2
p135,B,dram_wide,dram,1,758.6988,746.832,2.0,11.0,search/p135.png,reference/p135.png,4,0.2561788856983185,0.0464591383934021,0.34488467637747944,0.34488467637747944,1
p136,B,dram_compact,dram,1,742.2,592.993,-0.62,9.52,search/p136.png,reference/p136.png,1,0.9590136408805847,0.03661143779754639,0.2001224625073794,0.2001224625073794,1
p137,B,dram_legacy,dram,1,231.3857,770.4925,4.28,11.0,search/p137.png,reference/p137.png,2,0.6223480701446533,0.25467267632484436,0.6255563443847098,0.6255563443847098,6
p138,B,finfet_10nm,finfet,1,432.6471,548.7417,4.0,12.0,search/p138.png,reference/p138.png,3,0.3347318470478058,0.05546152591705322,0.43732973829819133,0.43732973829819133,1
p139,B,finfet_7nm,finfet,1,311.2778,309.6111,0.0,9.0,search/p139.png,reference/p139.png,4,0.13518208265304565,0.026872456073760986,1.7655639467320494,1.7655639467320494,5
p140,C,finfet_14nm,finfet,0,0.0,0.0,0.0,0.0,search/p140.png,reference/p140.png,0,1.0,1.0,0.0,0.0,1
p141,C,finfet_22nm,finfet,0,0.0,0.0,0.0,0.0,search/p141.png,reference/p141.png,0,1.0,1.0,0.0,0.0,1
p142,C,finfet_28nm,finfet,0,0.0,0.0,0.0,0.0,search/p142.png,reference/p142.png,0,1.0,1.0,0.0,0.0,1
p143,C,finfet_45nm,finfet,0,0.0,0.0,0.0,0.0,search/p143.png,reference/p143.png,0,1.0,1.0,0.0,0.0,1
p144,C,dram_1x,dram,0,0.0,0.0,0.0,0.0,search/p144.png,reference/p144.png,0,1.0,1.0,0.0,0.0,1
p145,C,dram_dense,dram,0,0.0,0.0,0.0,0.0,search/p145.png,reference/p145.png,0,1.0,1.0,0.0,0.0,1
p146,C,dram_loose,dram,0,0.0,0.0,0.0,0.0,search/p146.png,reference/p146.png,0,1.0,1.0,0.0,0.0,1
p147,C,dram_wide,dram,0,0.0,0.0,0.0,0.0,search/p147.png,reference/p147.png,0,1.0,1.0,0.0,0.0,1
p148,C,dram_compact,dram,0,0.0,0.0,0.0,0.0,search/p148.png,reference/p148.png,0,1.0,1.0,0.0,0.0,1
p149,C,dram_legacy,dram,0,0.0,0.0,0.0,0.0,search/p149.png,reference/p149.png,0,1.0,1.0,0.0,0.0,1
p150,C,finfet_10nm,finfet,0,0.0,0.0,0.0,0.0,search/p150.png,reference/p150.png,0,1.0,1.0,0.0,0.0,1
p151,C,finfet_7nm,finfet,0,0.0,0.0,0.0,0.0,search/p151.png,reference/p151.png,0,1.0,1.0,0.0,0.0,1
p152,C,finfet_14nm,finfet,0,0.0,0.0,0.0,0.0,search/p152.png,reference/p152.png,0,1.0,1.0,0.0,0.0,1
p153,C,finfet_22nm,finfet,0,0.0,0.0,0.0,0.0,search/p153.png,reference/p153.png,0,1.0,1.0,0.0,0.0,1
p154,C,finfet_28nm,finfet,0,0.0,0.0,0.0,0.0,search/p154.png,reference/p154.png,0,1.0,1.0,0.0,0.0,1
p155,C,finfet_45nm,finfet,0,0.0,0.0,0.0,0.0,search/p155.png,reference/p155.png,0,1.0,1.0,0.0,0.0,1
p156,C,dram_1x,dram,0,0.0,0.0,0.0,0.0,search/p156.png,reference/p156.png,0,1.0,1.0,0.0,0.0,1
