pair_id,present,x,y,theta,scale
p159,0,0.0,0.0,0.0,0.0
p160,0,0.0,0.0,0.0,0.0
p161,0,0.0,0.0,0.0,0.0
p162,0,0.0,0.0,0.0,0.0
p163,0,0.0,0.0,0.0,0.0
p164,0,0.0,0.0,0.0,0.0
p165,0,0.0,0.0,0.0,0.0
p166,0,0.0,0.0,0.0,0.0
p167,0,0.0,0.0,0.0,0.0
p168,0,0.0,0.0,0.0,0.0
p169,0,0.0,0.0,0.0,0.0
p170,0,0.0,0.0,0.0,0.0
p171,0,0.0,0.0,0.0,0.0
p172,0,0.0,0.0,0.0,0.0
p173,0,0.0,0.0,0.0,0.0
p174,0,0.0,0.0,0.0,0.0
p175,0,0.0,0.0,0.0,0.0
p176,0,0.0,0.0,0.0,0.0
p177,0,0.0,0.0,0.0,0.0
p178,0,0.0,0.0,0.0,0.0
p179,0,0.0,0.0,0.0,0.0
p180,1,261.4738,559.9058,2.48,10.07
p181,1,613.2652,298.2863,-0.26,9.26
p182,1,587.0354,702.273,3.17,11.57
p183,1,595.5571,295.7864,3.82,9.24
p184,1,268.1019,291.0505,1.82,9.59
p185,1,495.1048,489.6999,-0.98,10.85
p186,1,458.0553,459.4141,-0.35,11.31
p187,1,443.0916,680.8033,4.37,11.84
p188,1,448.6092,450.6263,4.08,11.6
p189,1,333.3214,334.9945,1.48,8.59
p190,1,748.8745,483.4566,0.29,10.96
p191,1,543.9569,538.7301,-2.99,10.12
p192,1,328.3395,345.8999,2.83,8.64
p193,1,345.1566,684.2167,2.28,8.6
p194,1,712.7002,703.3399,-0.88,8.31
p195,1,383.5137,728.8773,1.6,8.1
p196,1,614.4037,613.7204,-0.32,9.17
p197,1,306.1128,304.3562,0.16,9.15
p198,1,517.0984,227.8152,-3.33,10.63
p199,1,753.0498,721.0051,2.83,11.11
